state_district,bioguide_id,sortable_name,full_name,title,first_name,middle_name,last_name,suffix,official_name,formal_name,prior_congress,party,caucus,state_code,state,district,town,office_building,office_room,office_zip,office_zip_suffix,phone,last_elected_date,sworn_date
CA09,M001166,"MCNERNEY,JERRY","McNerney, Jerry",Mr.,Jerry,,McNerney,,Jerry McNerney,Mr. McNerney,116,D,D,CA,California,9th,Stockton,RHOB,2265,20515,0509,(202) 225-1947,20201103,20210103
CA10,H001090,"HARDER,JOSH","Harder, Josh",Mr.,Josh,,Harder,,Josh Harder,Mr. Harder of California,116,D,D,CA,California,10th,Tracy,CHOB,209,20515,0510,(202) 225-4540,20201103,20210103
CA11,D000623,"DESAULNIER,MARK","DeSaulnier, Mark",Mr.,Mark,,DeSaulnier,,Mark DeSaulnier,Mr. DeSaulnier,116,D,D,CA,California,11th,Concord,CHOB,503,20515,0511,(202) 225-2095,20201103,20210103
CA12,P000197,"PELOSI,NANCY","Pelosi, Nancy",Ms.,Nancy,,Pelosi,,Nancy Pelosi,Ms. Pelosi,116,D,D,CA,California,12th,San Francisco,LHOB,1236,20515,0512,(202) 225-4965,20201103,20210103
CA13,L000551,"LEE,BARBARA","Lee, Barbara",Ms.,Barbara,,Lee,,Barbara Lee,Ms. Lee of California,116,D,D,CA,California,13th,Oakland,RHOB,2470,20515,0513,(202) 225-2661,20201103,20210103
CA14,S001175,"SPEIER,JACKIE","Speier, Jackie",Ms.,Jackie,,Speier,,Jackie Speier,Ms. Speier,116,D,D,CA,California,14th,Hillsborough,RHOB,2465,20515,0514,(202) 225-3531,20201103,20210103
CA15,S001193,"SWALWELL,ERIC","Swalwell, Eric",Mr.,Eric,,Swalwell,,Eric Swalwell,Mr. Swalwell,116,D,D,CA,California,15th,Livermore,CHOB,174,20515,0515,(202) 225-5065,20201103,20210103
CA16,C001059,"COSTA,JIM","Costa, Jim",Mr.,Jim,,Costa,,Jim Costa,Mr. Costa,116,D,D,CA,California,16th,Fresno,RHOB,2081,20515,0516,(202) 225-3341,20201103,20210103
CA17,K000389,"KHANNA,RO","Khanna, Ro",Mr.,Ro,,Khanna,,Ro Khanna,Mr. Khanna,116,D,D,CA,California,17th,Fremont,CHOB,306,20515,0517,(202) 225-2631,20201103,20210103
CA18,E000215,"ESHOO,ANNA","Eshoo, Anna",Ms.,Anna,G.,Eshoo,,Anna G. Eshoo,Ms. Eshoo,116,D,D,CA,California,18th,Atherton,CHOB,272,20515,0518,(202) 225-8104,20201103,20210103
CA19,L000397,"LOFGREN,ZOE","Lofgren, Zoe",Ms.,Zoe,,Lofgren,,Zoe Lofgren,Ms. Lofgren,116,D,D,CA,California,19th,San José,LHOB,1401,20515,0519,(202) 225-3072,20201103,20210103
CA20,P000613,"PANETTA,JIMMY","Panetta, Jimmy",Mr.,Jimmy,,Panetta,,Jimmy Panetta,Mr. Panetta,116,D,D,CA,California,20th,Carmel Valley,CHOB,406,20515,0520,(202) 225-2861,20201103,20210103
CA21,V000129,"VALADAO,DAVID","Valadao, David",Mr.,David,G.,Valadao,,David G. Valadao,Mr. Valadao,115,R,R,CA,California,21st,Hanford,LHOB,1728,20515,0521,(202) 225-4695,20201103,20210103
CA22,C001128,"CONWAY,CONNIE","Conway, Connie",Ms.,Connie,,Conway,,Connie Conway,Ms. Conway,0,R,R,CA,California,22nd,Tulare,LHOB,1013,20515,0522,(202) 225-2523,20220607,20220614
CA23,M001165,"MCCARTHY,KEVIN","McCarthy, Kevin",Mr.,Kevin,,McCarthy,,Kevin McCarthy,Mr. McCarthy,116,R,R,CA,California,23rd,Bakersfield,RHOB,2468,20515,0523,(202) 225-2915,20201103,20210103
CA24,C001112,"CARBAJAL,SALUD","Carbajal, Salud",Mr.,Salud,O.,Carbajal,,Salud O. Carbajal,Mr. Carbajal,116,D,D,CA,California,24th,Santa Barbara,RHOB,2331,20515,0524,(202) 225-3601,20201103,20210103
CA25,G000061,"GARCIA,MIKE","Garcia, Mike",Mr.,Mike,,Garcia,,Mike Garcia,Mr. Garcia of California,116,R,R,CA,California,25th,Santa Clarita,LHOB,1535,20515,0525,(202) 225-1956,20201103,20210103
CA26,B001285,"BROWNLEY,JULIA","Brownley, Julia",Ms.,Julia,,Brownley,,Julia Brownley,Ms. Brownley,116,D,D,CA,California,26th,Westlake Village,RHOB,2262,20515,0526,(202) 225-5811,20201103,20210103
CA27,C001080,"CHU,JUDY","Chu, Judy",Ms.,Judy,,Chu,,Judy Chu,Ms. Chu,116,D,D,CA,California,27th,Monterey Park,RHOB,2423,20515,0527,(202) 225-5464,20201103,20210103
CA28,S001150,"SCHIFF,ADAM","Schiff, Adam",Mr.,Adam,B.,Schiff,,Adam B. Schiff,Mr. Schiff,116,D,D,CA,California,28th,Burbank,RHOB,2309,20515,0528,(202) 225-4176,20201103,20210103
CA29,C001097,"CARDENAS,TONY","Cárdenas, Tony",Mr.,Tony,,Cárdenas,,Tony Cárdenas,Mr. Cárdenas,116,D,D,CA,California,29th,Pacoima,RHOB,2438,20515,0529,(202) 225-6131,20201103,20210103
CA30,S000344,"SHERMAN,BRAD","Sherman, Brad",Mr.,Brad,,Sherman,,Brad Sherman,Mr. Sherman,116,D,D,CA,California,30th,Sherman Oaks,RHOB,2181,20515,0530,(202) 225-5911,20201103,20210103
CA31,A000371,"AGUILAR,PETE","Aguilar, Pete",Mr.,Pete,,Aguilar,,Pete Aguilar,Mr. Aguilar,116,D,D,CA,California,31st,Redlands,CHOB,109,20515,0531,(202) 225-3201,20201103,20210103
CA32,N000179,"NAPOLITANO,GRACE","Napolitano, Grace",Mrs.,Grace,F.,Napolitano,,Grace F. Napolitano,Mrs. Napolitano,116,D,D,CA,California,32nd,Norwalk,LHOB,1610,20515,0532,(202) 225-5256,20201103,20210103
CA33,L000582,"LIEU,TED","Lieu, Ted",Mr.,Ted,,Lieu,,Ted Lieu,Mr. Lieu,116,D,D,CA,California,33rd,Torrance,CHOB,403,20515,0533,(202) 225-3976,20201103,20210103
CA34,G000585,"GOMEZ,JIMMY","Gomez, Jimmy",Mr.,Jimmy,,Gomez,,Jimmy Gomez,Mr. Gomez,116,D,D,CA,California,34th,Los Angeles,LHOB,1530,20515,0534,(202) 225-6235,20201103,20210103
CA35,T000474,"TORRES,NORMA","Torres, Norma",Mrs.,Norma,J.,Torres,,Norma J. Torres,Mrs. Torres of California,116,D,D,CA,California,35th,Pomona,RHOB,2227,20515,0535,(202) 225-6161,20201103,20210103
CA36,R000599,"RUIZ,RAUL","Ruiz, Raul",Mr.,Raul,,Ruiz,,Raul Ruiz,Mr. Ruiz,116,D,D,CA,California,36th,Indio,RHOB,2342,20515,0536,(202) 225-5330,20201103,20210103
CA37,,,,,,,,,,,0,,,CA,California,37th,,RHOB,2021,20515,0537,(202) 225-7084,,
CA38,S001156,"SANCHEZ,LINDA","Sánchez, Linda",Ms.,Linda,T.,Sánchez,,Linda T. Sánchez,Ms. Sánchez,116,D,D,CA,California,38th,Whittier,RHOB,2329,20515,0538,(202) 225-6676,20201103,20210103
CA39,K000397,"KIM,YOUNG","Kim, Young",Mrs.,Young,,Kim,,Young Kim,Mrs. Kim of California,0,R,R,CA,California,39th,La Habra,LHOB,1306,20515,0539,(202) 225-4111,20201103,20210103
CA40,R000486,"ROYBALALLARD,LUCILLE","Roybal-Allard, Lucille",Ms.,Lucille,,Roybal-Allard,,Lucille Roybal-Allard,Ms. Roybal-Allard,116,D,D,CA,California,40th,Downey,RHOB,2083,20515,0540,(202) 225-1766,20201103,20210103
CA41,T000472,"TAKANO,MARK","Takano, Mark",Mr.,Mark,,Takano,,Mark Takano,Mr. Takano,116,D,D,CA,California,41st,Riverside,CHOB,420,20515,0541,(202) 225-2305,20201103,20210103
CA42,C000059,"CALVERT,KEN","Calvert, Ken",Mr.,Ken,,Calvert,,Ken Calvert,Mr. Calvert,116,R,R,CA,California,42nd,Corona,RHOB,2205,20515,0542,(202) 225-1986,20201103,20210103
CA43,W000187,"WATERS,MAXINE","Waters, Maxine",Ms.,Maxine,,Waters,,Maxine Waters,Ms. Waters,116,D,D,CA,California,43rd,Los Angeles,RHOB,2221,20515,0543,(202) 225-2201,20201103,20210103
CA44,B001300,"BARRAGAN,NANETTE","Barragán, Nanette",Ms.,Nanette,Diaz,Barragán,,Nanette Diaz Barragán,Ms. Barragán,116,D,D,CA,California,44th,San Pedro,RHOB,2246,20515,0544,(202) 225-8220,20201103,20210103
CA45,P000618,"PORTER,KATIE","Porter, Katie",Ms.,Katie,,Porter,,Katie Porter,Ms. Porter,116,D,D,CA,California,45th,Irvine,LHOB,1117,20515,0545,(202) 225-5611,20201103,20210103
CA46,C001110,"CORREA,J.","Correa, J.",Mr.,J.,Luis,Correa,,J. Luis Correa,Mr. Correa,116,D,D,CA,California,46th,Santa Ana,RHOB,2301,20515,0546,(202) 225-2965,20201103,20210103
CA47,L000579,"LOWENTHAL,ALAN","Lowenthal, Alan",Mr.,Alan,S.,Lowenthal,,Alan S. Lowenthal,Mr. Lowenthal,116,D,D,CA,California,47th,Long Beach,CHOB,108,20515,0547,(202) 225-7924,20201103,20210103
CA48,S001135,"STEEL,MICHELLE","Steel, Michelle",Mrs.,Michelle,,Steel,,Michelle Steel,Mrs. Steel,0,R,R,CA,California,48th,Orange County,LHOB,1113,20515,0548,(202) 225-2415,20201103,20210103
CA49,L000593,"LEVIN,MIKE","Levin, Mike",Mr.,Mike,,Levin,,Mike Levin,Mr. Levin of California,116,D,D,CA,California,49th,San Juan Capistrano,LHOB,1030,20515,0549,(202) 225-3906,20201103,20210103
CA50,I000056,"ISSA,DARRELL","Issa, Darrell",Mr.,Darrell,,Issa,,Darrell Issa,Mr. Issa,115,R,R,CA,California,50th,San Diego,RHOB,2300,20515,0550,(202) 225-5672,20201103,20210103
CA51,V000130,"VARGAS,JUAN","Vargas, Juan",Mr.,Juan,,Vargas,,Juan Vargas,Mr. Vargas,116,D,D,CA,California,51st,San Diego,RHOB,2244,20515,0551,(202) 225-8045,20201103,20210103
CA52,P000608,"PETERS,SCOTT","Peters, Scott",Mr.,Scott,H.,Peters,,Scott H. Peters,Mr. Peters,116,D,D,CA,California,52nd,San Diego,LHOB,1201,20515,0552,(202) 225-0508,20201103,20210103
CA53,J000305,"JACOBS,SARA","Jacobs, Sara",Ms.,Sara,,Jacobs,,Sara Jacobs,Ms. Jacobs of California,0,D,D,CA,California,53rd,San Diego,LHOB,1232,20515,0553,(202) 225-2040,20201103,20210103
CO01,D000197,"DEGETTE,DIANA","DeGette, Diana",Ms.,Diana,,DeGette,,Diana DeGette,Ms. DeGette,116,D,D,CO,Colorado,1st,Denver,RHOB,2111,20515,0601,(202) 225-4431,20201103,20210103
CO02,N000191,"NEGUSE,JOE","Neguse, Joe",Mr.,Joe,,Neguse,,Joe Neguse,Mr. Neguse,116,D,D,CO,Colorado,2nd,Lafayette,LHOB,1419,20515,0602,(202) 225-2161,20201103,20210103
CO03,B000825,"BOEBERT,LAUREN","Boebert, Lauren",Mrs.,Lauren,,Boebert,,Lauren Boebert,Mrs. Boebert,0,R,R,CO,Colorado,3rd,Silt,LHOB,1609,20515,0603,(202) 225-4761,20201103,20210103
CO04,B001297,"BUCK,KEN","Buck, Ken",Mr.,Ken,,Buck,,Ken Buck,Mr. Buck,116,R,R,CO,Colorado,4th,Windsor,RHOB,2455,20515,0604,(202) 225-4676,20201103,20210103
CO05,L000564,"LAMBORN,DOUG","Lamborn, Doug",Mr.,Doug,,Lamborn,,Doug Lamborn,Mr. Lamborn,116,R,R,CO,Colorado,5th,Colorado Springs,RHOB,2371,20515,0605,(202) 225-4422,20201103,20210103
CO06,C001121,"CROW,JASON","Crow, Jason",Mr.,Jason,,Crow,,Jason Crow,Mr. Crow,116,D,D,CO,Colorado,6th,Aurora,LHOB,1229,20515,0606,(202) 225-7882,20201103,20210103
CO07,P000593,"PERLMUTTER,ED","Perlmutter, Ed",Mr.,Ed,,Perlmutter,,Ed Perlmutter,Mr. Perlmutter,116,D,D,CO,Colorado,7th,Arvada,LHOB,1226,20515,0607,(202) 225-2645,20201103,20210103
CT01,L000557,"LARSON,JOHN","Larson, John",Mr.,John,B.,Larson,,John B. Larson,Mr. Larson of Connecticut,116,D,D,CT,Connecticut,1st,East Hartford,LHOB,1501,20515,0701,(202) 225-2265,20201103,20210103
CT02,C001069,"COURTNEY,JOE","Courtney, Joe",Mr.,Joe,,Courtney,,Joe Courtney,Mr. Courtney,116,D,D,CT,Connecticut,2nd,Vernon,RHOB,2449,20515,0702,(202) 225-2076,20201103,20210103
CT03,D000216,"DELAURO,ROSA","DeLauro, Rosa",Ms.,Rosa,L.,DeLauro,,Rosa L. DeLauro,Ms. DeLauro,116,D,D,CT,Connecticut,3rd,New Haven,RHOB,2413,20515,0703,(202) 225-3661,20201103,20210103
CT04,H001047,"HIMES,JAMES","Himes, James",Mr.,James,A.,Himes,,James A. Himes,Mr. Himes,116,D,D,CT,Connecticut,4th,Cos Cob,RHOB,2137,20515,0704,(202) 225-5541,20201103,20210103
CT05,H001081,"HAYES,JAHANA","Hayes, Jahana",Mrs.,Jahana,,Hayes,,Jahana Hayes,Mrs. Hayes,116,D,D,CT,Connecticut,5th,Wolcott,LHOB,1415,20515,0705,(202) 225-4476,20201103,20210103
DC00,N000147,"NORTON,ELEANOR","Norton, Eleanor",Ms.,Eleanor,Holmes,Norton,,Eleanor Holmes Norton,Ms. Norton,116,D,D,DC,District of Columbia,Delegate,District of Columbia,RHOB,2136,20515,5101,(202) 225-8050,20201103,20210103
DE00,B001303,"BLUNTROCHESTER,LISA","Blunt Rochester, Lisa",Ms.,Lisa,,Blunt Rochester,,Lisa Blunt Rochester,Ms. Blunt Rochester,116,D,D,DE,Delaware,At Large,Wilmington,LHOB,1724,20515,0800,(202) 225-4165,20201103,20210103
FL01,G000578,"GAETZ,MATT","Gaetz, Matt",Mr.,Matt,,Gaetz,,Matt Gaetz,Mr. Gaetz,116,R,R,FL,Florida,1st,Niceville,LHOB,1721,20515,0901,(202) 225-4136,20201103,20210103
FL02,D000628,"DUNN,NEAL","Dunn, Neal",Mr.,Neal,P.,Dunn,,Neal P. Dunn,Mr. Dunn,116,R,R,FL,Florida,2nd,Panama City,CHOB,316,20515,0902,(202) 225-5235,20201103,20210103
FL03,C001039,"CAMMACK,KAT","Cammack, Kat",Mrs.,Kat,,Cammack,,Kat Cammack,Mrs. Cammack,105,R,R,FL,Florida,3rd,Gainesville,LHOB,1626,20515,0903,(202) 225-5744,20201103,20210103
FL04,R000609,"RUTHERFORD,JOHN","Rutherford, John",Mr.,John,H.,Rutherford,,John H. Rutherford,Mr. Rutherford,116,R,R,FL,Florida,4th,Jacksonville,LHOB,1711,20515,0904,(202) 225-2501,20201103,20210103
FL05,L000586,"LAWSON,AL","Lawson, Al",Mr.,Al,,Lawson,Jr.,"Al Lawson, Jr.",Mr. Lawson of Florida,116,D,D,FL,Florida,5th,Tallahassee,RHOB,2437,20515,0905,(202) 225-0123,20201103,20210103
FL06,W000823,"WALTZ,MICHAEL","Waltz, Michael",Mr.,Michael,,Waltz,,Michael Waltz,Mr. Waltz,116,R,R,FL,Florida,6th,St. Augustine Beach,CHOB,213,20515,0906,(202) 225-2706,20201103,20210103
FL07,M001202,"MURPHY,STEPHANIE","Murphy, Stephanie",Mrs.,Stephanie,N.,Murphy,,Stephanie N. Murphy,Mrs. Murphy of Florida,116,D,D,FL,Florida,7th,Winter Park,LHOB,1710,20515,0907,(202) 225-4035,20201103,20210103
FL08,P000599,"POSEY,BILL","Posey, Bill",Mr.,Bill,,Posey,,Bill Posey,Mr. Posey,116,R,R,FL,Florida,8th,Rockledge,RHOB,2150,20515,0908,(202) 225-3671,20201103,20210103
FL09,S001200,"SOTO,DARREN","Soto, Darren",Mr.,Darren,,Soto,,Darren Soto,Mr. Soto,116,D,D,FL,Florida,9th,Kissimmee,RHOB,2353,20515,0909,(202) 225-9889,20201103,20210103
FL10,D000627,"DEMINGS,VAL","Demings, Val",Mrs.,Val,Butler,Demings,,Val Butler Demings,Mrs. Demings,116,D,D,FL,Florida,10th,Orlando,CHOB,217,20515,0910,(202) 225-2176,20201103,20210103
FL11,W000806,"WEBSTER,DANIEL","Webster, Daniel",Mr.,Daniel,,Webster,,Daniel Webster,Mr. Webster of Florida,116,R,R,FL,Florida,11th,Clermont,RHOB,2184,20515,0911,(202) 225-1002,20201103,20210103
FL12,B001257,"BILIRAKIS,GUS","Bilirakis, Gus",Mr.,Gus,M.,Bilirakis,,Gus M. Bilirakis,Mr. Bilirakis,116,R,R,FL,Florida,12th,Palm Harbor,RHOB,2354,20515,0912,(202) 225-5755,20201103,20210103
FL13,,,,,,,,,,,0,,,FL,Florida,13th,,CHOB,215,20515,0913,(202) 225-5961,,
FL14,C001066,"CASTOR,KATHY","Castor, Kathy",Ms.,Kathy,,Castor,,Kathy Castor,Ms. Castor of Florida,116,D,D,FL,Florida,14th,Tampa,RHOB,2052,20515,0914,(202) 225-3376,20201103,20210103
FL15,F000472,"FRANKLIN,C.","Franklin, C.",Mr.,C.,Scott,Franklin,,C. Scott Franklin,Mr. C. Scott Franklin of Florida,0,R,R,FL,Florida,15th,Lakeland,LHOB,1517,20515,0915,(202) 225-1252,20201103,20210103
FL16,B001260,"BUCHANAN,VERN","Buchanan, Vern",Mr.,Vern,,Buchanan,,Vern Buchanan,Mr. Buchanan,116,R,R,FL,Florida,16th,Sarasota,RHOB,2110,20515,0916,(202) 225-5015,20201103,20210103
FL17,S001214,"STEUBE,W.","Steube, W.",Mr.,W.,Gregory,Steube,,W. Gregory Steube,Mr. Steube,116,R,R,FL,Florida,17th,Sarasota,RHOB,2457,20515,0917,(202) 225-5792,20201103,20210103
FL18,M001199,"MAST,BRIAN","Mast, Brian",Mr.,Brian,J.,Mast,,Brian J. Mast,Mr. Mast,116,R,R,FL,Florida,18th,Fort Pierce,RHOB,2182,20515,0918,(202) 225-3026,20201103,20210103
FL19,D000032,"DONALDS,BYRON","Donalds, Byron",Mr.,Byron,,Donalds,,Byron Donalds,Mr. Donalds,0,R,R,FL,Florida,19th,Naples,CHOB,523,20515,0919,(202) 225-2536,20201103,20210103
FL20,C001127,"CHERFILUSMCCORMICK,SHEILA","Cherfilus-McCormick, Sheila",Mrs.,Sheila,,Cherfilus-McCormick,,Sheila Cherfilus-McCormick,Mrs. Cherfilus-McCormick,0,D,D,FL,Florida,20th,Miramar,RHOB,2365,20515,0920,(202) 225-1313,20220111,20220118
FL21,F000462,"FRANKEL,LOIS","Frankel, Lois",Ms.,Lois,,Frankel,,Lois Frankel,Ms. Lois Frankel of Florida,116,D,D,FL,Florida,21st,West Palm Beach,RHOB,2305,20515,0921,(202) 225-9890,20201103,20210103
FL22,,,,,,,,,,,0,,,FL,Florida,22nd,,RHOB,2323,20515,0922,(202) 225-3001,,
FL23,W000797,"WASSERMANSCHULTZ,DEBBIE","Wasserman Schultz, Debbie",Ms.,Debbie,,Wasserman Schultz,,Debbie Wasserman Schultz,Ms. Wasserman Schultz,116,D,D,FL,Florida,23rd,Weston,LHOB,1114,20515,0923,(202) 225-7931,20201103,20210103
FL24,W000808,"WILSON,FREDERICA","Wilson, Frederica",Ms.,Frederica,S.,Wilson,,Frederica S. Wilson,Ms. Wilson of Florida,116,D,D,FL,Florida,24th,Miami Gardens,RHOB,2445,20515,0924,(202) 225-4506,20201103,20210103
FL25,D000600,"DIAZBALART,MARIO","Diaz-Balart, Mario",Mr.,Mario,,Diaz-Balart,,Mario Diaz-Balart,Mr. Diaz-Balart,116,R,R,FL,Florida,25th,Miami,CHOB,374,20515,0925,(202) 225-4211,20201103,20210103
FL26,G000593,"GIMENEZ,CARLOS","Gimenez, Carlos",Mr.,Carlos,A.,Gimenez,,Carlos A. Gimenez,Mr. Gimenez,0,R,R,FL,Florida,26th,Miami,CHOB,419,20515,0926,(202) 225-2778,20201103,20210103
FL27,S000168,"SALAZAR,MARIA","Salazar, Maria",Ms.,Maria,Elvira,Salazar,,Maria Elvira Salazar,Ms. Salazar,0,R,R,FL,Florida,27th,Miami,LHOB,1616,20515,0927,(202) 225-3931,20201103,20210103
