subcode,subcomname,parent_com,parent_com_code,building,room,phone,majority,minority
FA16,"Africa, Global Health, Global Human Rights, and International Organizations",Committee on Foreign Affairs,FA00,RHOB,2170,226-1500,5,4
FA17,Oversight and Investigations,Committee on Foreign Affairs,FA00,RHOB,2170,225-5021,6,4
GO02,Civil Rights and Civil Liberties,Committee on Oversight and Reform,GO00,OHOB,6440,225-5051,9,7
GO05,Economic and Consumer Policy,Committee on Oversight and Reform,GO00,OHOB,6430,225-5051,7,5
GO06,National Security,Committee on Oversight and Reform,GO00,OHOB,6470,225-5051,9,7
GO24,Government Operations,Committee on Oversight and Reform,GO00,OHOB,6460,225-5051,9,7
GO28,Environment,Committee on Oversight and Reform,GO00,OHOB,6440,225-5051,7,5
HM05,Intelligence and Counterterrorism,Committee on Homeland Security,HM00,FHOB,176,226-2616,4,3
HM07,Transportation and Maritime Security,Committee on Homeland Security,HM00,FHOB,176,226-2616,6,4
HM08,"Cybersecurity, Infrastructure Protection, and Innovation",Committee on Homeland Security,HM00,FHOB,176,226-2616,6,4
HM09,"Oversight, Management, and Accountability",Committee on Homeland Security,HM00,FHOB,176,226-2616,4,3
HM11,"Border Security, Facilitation, and Operations",Committee on Homeland Security,HM00,FHOB,176,226-2616,6,4
HM12,"Emergency Preparedness, Response, and Recovery",Committee on Homeland Security,HM00,FHOB,176,226-2616,6,4
IF02,Oversight and Investigations,Committee on Energy and Commerce,IF00,RHOB,2125,225-2927,10,7
IF03,Energy,Committee on Energy and Commerce,IF00,RHOB,2125,225-2927,18,0
IF14,Health,Committee on Energy and Commerce,IF00,RHOB,2125,225-2927,18,13
IF16,Communications and Technology,Committee on Energy and Commerce,IF00,RHOB,2125,225-2927,17,12
IF17,Consumer Protection and Commerce,Committee on Energy and Commerce,IF00,RHOB,2125,225-2927,13,9
IF18,Environment and Climate Change,Committee on Energy and Commerce,IF00,RHOB,2125,225-2927,13,9
II06,Energy and Mineral Resources,Committee on Natural Resources,II00,LHOB,1522,225-6065,8,6
II10,"National Parks, Forests, and Public Lands",Committee on Natural Resources,II00,LHOB,1328,225-6065,11,9
II13,"Water, Oceans, and Wildlife",Committee on Natural Resources,II00,LHOB,1332,225-6065,13,10
II15,Oversight and Investigations,Committee on Natural Resources,II00,FHOB,186,225-6065,5,4
II24,For Indigenous Peoples of the United States,Committee on Natural Resources,II00,LHOB,1331,225-6065,8,6
JU01,Immigration and Citizenship,Committee on the Judiciary,JU00,OHOB,6320,225-3926,9,6
JU03,"Courts, Intellectual Property, and the Internet",Committee on the Judiciary,JU00,OHOB,6310,225-5741,11,9
JU05,"Antitrust, Commercial, and Administrative Law",Committee on the Judiciary,JU00,OHOB,6240,226-7680,8,5
JU08,"Crime, Terrorism and Homeland Security",Committee on the Judiciary,JU00,OHOB,6340,225-5727,12,9
JU10,"The Constitution, Civil Rights, and Civil Liberties",Committee on the Judiciary,JU00,RHOB,2138,225-3951,8,6
PW02,Water Resources and Environment,Committee on Transportation and Infrastructure,PW00,RHOB,2165,225-4472,18,14
PW05,Aviation,Committee on Transportation and Infrastructure,PW00,RHOB,2165,225-4472,22,17
PW07,Coast Guard and Maritime Transportation,Committee on Transportation and Infrastructure,PW00,RHOB,2165,225-4472,9,7
PW12,Highways and Transit,Committee on Transportation and Infrastructure,PW00,RHOB,2165,225-4472,31,25
PW13,"Economic Development, Public Buildings, and Emergency Management",Committee on Transportation and Infrastructure,PW00,RHOB,2165,225-4472,9,6
PW14,"Railroads, Pipelines, and Hazardous Materials",Committee on Transportation and Infrastructure,PW00,RHOB,2165,225-4472,19,15
RU02,Legislative and Budget Process,Committee on Rules,RU00,C,H312,225-9091,5,2
RU04,Rules and Organization of the House,Committee on Rules,RU00,C,H312,225-9091,5,2
RU05,Expedited Procedures,Committee on Rules,RU00,C,H312,225-9091,5,2
SM23,Contracting and Infrastructure,Committee on Small Business,SM00,RHOB,2361,225-4038,6,4
SM24,"Investigations, Oversight and Regulations",Committee on Small Business,SM00,RHOB,2361,225-4038,6,4
SM25,"Rural Development, Agriculture, Trade and Entrepreneurship",Committee on Small Business,SM00,RHOB,2361,225-4038,6,4
SM26,Innovation and Workforce Development,Committee on Small Business,SM00,RHOB,2361,225-4038,6,4
SM27,"Economic Growth, Tax and Capital Access",Committee on Small Business,SM00,RHOB,2361,225-4038,6,4
SY15,Research and Technology,"Committee on Science, Space, and Technology",SY00,RHOB,2321,225-6375,8,5
SY16,Space and Aeronautics,"Committee on Science, Space, and Technology",SY00,RHOB,2321,225-6375,8,5
SY18,Environment,"Committee on Science, Space, and Technology",SY00,RHOB,2321,225-6375,8,5
SY20,Energy,"Committee on Science, Space, and Technology",SY00,RHOB,2321,225-6375,8,5
SY21,Investigations and Oversight,"Committee on Science, Space, and Technology",SY00,RHOB,2321,225-6375,5,3
VR03,Health,Committee on Veterans' Affairs,VR00,LHOB,B234,225-9756,7,5
VR08,Oversight and Investigations,Committee on Veterans' Affairs,VR00,LHOB,B234,225-9756,5,4
VR09,Disability Assistance and Memorial Affairs,Committee on Veterans' Affairs,VR00,LHOB,B234,225-9756,5,4
VR10,Economic Opportunity,Committee on Veterans' Affairs,VR00,LHOB,B234,225-9756,7,5
VR11,Technology Modernization,Committee on Veterans' Affairs,VR00,LHOB,B234,225-9756,4,3
WM01,Social Security,Committee on Ways and Means,WM00,RHOB,2018,225-9263,7,4
WM02,Health,Committee on Ways and Means,WM00,LHOB,1104,225-3943,11,7
WM03,Worker and Family Support,Committee on Ways and Means,WM00,LHOB,1129,225-9263,7,4
WM04,Trade,Committee on Ways and Means,WM00,LHOB,1103,225-6649,11,7
WM05,Select Revenue Measures,Committee on Ways and Means,WM00,LHOB,1136,225-5522,9,6
WM06,Oversight,Committee on Ways and Means,WM00,RHOB,2018,225-3625,7,4
IG05,"Counterterrorism, Counterintelligence, and Counterproliferation",Permanent Select Committee on Intelligence,IG00,C,HVC304,225-7690,6,4
IG06,Defense Intelligence and Warfighter Support,Permanent Select Committee on Intelligence,IG00,C,HVC304,225-7690,6,4
IG08,Intelligence Modernization and Readiness,Permanent Select Committee on Intelligence,IG00,C,HVC304,225-7690,6,4
IG10,Strategic Technologies and Advanced Research,Permanent Select Committee on Intelligence,IG00,C,HVC304,225-7690,6,4
