state_district,bioguide_id,full_name,formal_name,title,first_name,middle_name,last_name,suffix,sortable_name,prior_congress,official_name,party,caucus,state_code,state,district,town,office_building,office_room,office_zip,office_zip_suffix,phone,last_elected_date,sworn_date
AZ01,O000171,"O'Halleran, Tom",Mr. O'Halleran,Mr.,Tom,,O'Halleran,,"OHALLERAN,TOM",115,Tom O'Halleran,D,D,AZ,Arizona,1st,Sedona,CHOB,324,20515,0301,(202) 225-3361,20181106,20190103
AZ02,K000368,"Kirkpatrick, Ann",Mrs. Kirkpatrick,Mrs.,Ann,,Kirkpatrick,,"KIRKPATRICK,ANN",114,Ann Kirkpatrick,D,D,AZ,Arizona,2nd,Tucson,CHOB,309,20515,0302,(202) 225-2542,20181106,20190103
AZ03,G000551,"Grijalva, Raúl",Mr. Grijalva,Mr.,Raúl,M.,Grijalva,,"GRIJALVA,RAUL",115,Raúl M. Grijalva,D,D,AZ,Arizona,3rd,Tucson,LHOB,1511,20515,0303,(202) 225-2435,20181106,20190103
AZ04,G000565,"Gosar, Paul",Mr. Gosar,Mr.,Paul,A.,Gosar,,"GOSAR,PAUL",115,Paul A. Gosar,R,R,AZ,Arizona,4th,Prescott,RHOB,2057,20515,0304,(202) 225-2315,20181106,20190103
AZ05,B001302,"Biggs, Andy",Mr. Biggs,Mr.,Andy,,Biggs,,"BIGGS,ANDY",115,Andy Biggs,R,R,AZ,Arizona,5th,Gilbert,LHOB,1318,20515,0305,(202) 225-2635,20181106,20190103
AZ06,S001183,"Schweikert, David",Mr. Schweikert,Mr.,David,,Schweikert,,"SCHWEIKERT,DAVID",115,David Schweikert,R,R,AZ,Arizona,6th,Fountain Hills,LHOB,1526,20515,0306,(202) 225-2190,20181106,20190103
AZ07,G000574,"Gallego, Ruben",Mr. Gallego,Mr.,Ruben,,Gallego,,"GALLEGO,RUBEN",115,Ruben Gallego,D,D,AZ,Arizona,7th,Phoenix,LHOB,1131,20515,0307,(202) 225-4065,20181106,20190103
AZ08,L000589,"Lesko, Debbie",Mrs. Lesko,Mrs.,Debbie,,Lesko,,"LESKO,DEBBIE",115,Debbie Lesko,R,R,AZ,Arizona,8th,Peoria,LHOB,1113,20515,0308,(202) 225-4576,20181106,20190103
AZ09,S001211,"Stanton, Greg",Mr. Stanton,Mr.,Greg,,Stanton,,"STANTON,GREG",0,Greg Stanton,D,D,AZ,Arizona,9th,Phoenix,CHOB,128,20515,0309,(202) 225-9888,20181106,20190103
CA01,L000578,"LaMalfa, Doug",Mr. LaMalfa,Mr.,Doug,,LaMalfa,,"LAMALFA,DOUG",115,Doug LaMalfa,R,R,CA,California,1st,Oroville,CHOB,322,20515,0501,(202) 225-3076,20181106,20190103
CA02,H001068,"Huffman, Jared",Mr. Huffman,Mr.,Jared,,Huffman,,"HUFFMAN,JARED",115,Jared Huffman,D,D,CA,California,2nd,San Rafael,LHOB,1527,20515,0502,(202) 225-5161,20181106,20190103
CA03,G000559,"Garamendi, John",Mr. Garamendi,Mr.,John,,Garamendi,,"GARAMENDI,JOHN",115,John Garamendi,D,D,CA,California,3rd,Walnut Grove,RHOB,2368,20515,0503,(202) 225-1880,20181106,20190103
CA04,M001177,"McClintock, Tom",Mr. McClintock,Mr.,Tom,,McClintock,,"MCCLINTOCK,TOM",115,Tom McClintock,R,R,CA,California,4th,Elk Grove,RHOB,2312,20515,0504,(202) 225-2511,20181106,20190103
CA05,T000460,"Thompson, Mike",Mr. Thompson of California,Mr.,Mike,,Thompson,,"THOMPSON,MIKE",115,Mike Thompson,D,D,CA,California,5th,St. Helena,CHOB,406,20515,0505,(202) 225-3311,20181106,20190103
CA06,M001163,"Matsui, Doris",Ms. Matsui,Ms.,Doris,O.,Matsui,,"MATSUI,DORIS",115,Doris O. Matsui,D,D,CA,California,6th,Sacramento,RHOB,2311,20515,0506,(202) 225-7163,20181106,20190103
CA07,B001287,"Bera, Ami",Mr. Bera,Mr.,Ami,,Bera,,"BERA,AMI",115,Ami Bera,D,D,CA,California,7th,Elk Grove,LHOB,1727,20515,0507,(202) 225-5716,20181106,20190103
CA08,C001094,"Cook, Paul",Mr. Cook,Mr.,Paul,,Cook,,"COOK,PAUL",115,Paul Cook,R,R,CA,California,8th,Yucca Valley,LHOB,1027,20515,0508,(202) 225-5861,20181106,20190103
CA09,M001166,"McNerney, Jerry",Mr. McNerney,Mr.,Jerry,,McNerney,,"MCNERNEY,JERRY",115,Jerry McNerney,D,D,CA,California,9th,Stockton,RHOB,2265,20515,0509,(202) 225-1947,20181106,20190103
CA10,H001090,"Harder, Josh",Mr. Harder of California,Mr.,Josh,,Harder,,"HARDER,JOSH",0,Josh Harder,D,D,CA,California,10th,Turlock,CHOB,131,20515,0510,(202) 225-4540,20181106,20190103
CA11,D000623,"DeSaulnier, Mark",Mr. DeSaulnier,Mr.,Mark,,DeSaulnier,,"DESAULNIER,MARK",115,Mark DeSaulnier,D,D,CA,California,11th,Concord,CHOB,503,20515,0511,(202) 225-2095,20181106,20190103
CA12,P000197,"Pelosi, Nancy",Ms. Pelosi,Ms.,Nancy,,Pelosi,,"PELOSI,NANCY",115,Nancy Pelosi,D,D,CA,California,12th,San Francisco,LHOB,1236,20515,0512,(202) 225-4965,20181106,20190103
CA13,L000551,"Lee, Barbara",Ms. Lee of California,Ms.,Barbara,,Lee,,"LEE,BARBARA",115,Barbara Lee,D,D,CA,California,13th,Oakland,RHOB,2470,20515,0513,(202) 225-2661,20181106,20190103
CA14,S001175,"Speier, Jackie",Ms. Speier,Ms.,Jackie,,Speier,,"SPEIER,JACKIE",115,Jackie Speier,D,D,CA,California,14th,Hillsborough,RHOB,2465,20515,0514,(202) 225-3531,20181106,20190103
CA15,S001193,"Swalwell, Eric",Mr. Swalwell of California,Mr.,Eric,,Swalwell,,"SWALWELL,ERIC",115,Eric Swalwell,D,D,CA,California,15th,Dublin,CHOB,407,20515,0515,(202) 225-5065,20181106,20190103
CA16,C001059,"Costa, Jim",Mr. Costa,Mr.,Jim,,Costa,,"COSTA,JIM",115,Jim Costa,D,D,CA,California,16th,Fresno,RHOB,2081,20515,0516,(202) 225-3341,20181106,20190103
CA17,K000389,"Khanna, Ro",Mr. Khanna,Mr.,Ro,,Khanna,,"KHANNA,RO",115,Ro Khanna,D,D,CA,California,17th,Fremont,CHOB,221,20515,0517,(202) 225-2631,20181106,20190103
CA18,E000215,"Eshoo, Anna",Ms. Eshoo,Ms.,Anna,G.,Eshoo,,"ESHOO,ANNA",115,Anna G. Eshoo,D,D,CA,California,18th,Atherton,CHOB,202,20515,0518,(202) 225-8104,20181106,20190103
CA19,L000397,"Lofgren, Zoe",Ms. Lofgren,Ms.,Zoe,,Lofgren,,"LOFGREN,ZOE",115,Zoe Lofgren,D,D,CA,California,19th,San José,LHOB,1401,20515,0519,(202) 225-3072,20181106,20190103
CA20,P000613,"Panetta, Jimmy",Mr. Panetta,Mr.,Jimmy,,Panetta,,"PANETTA,JIMMY",115,Jimmy Panetta,D,D,CA,California,20th,Carmel Valley,CHOB,212,20515,0520,(202) 225-2861,20181106,20190103
CA21,C001124,"Cox, TJ",Mr. Cox of California,Mr.,TJ,,Cox,,"COX,TJ",0,TJ Cox,D,D,CA,California,21st,Fresno,LHOB,1728,20515,0521,(202) 225-4695,20181106,20190103
CA22,N000181,"Nunes, Devin",Mr. Nunes,Mr.,Devin,,Nunes,,"NUNES,DEVIN",115,Devin Nunes,R,R,CA,California,22nd,Tulare,LHOB,1013,20515,0522,(202) 225-2523,20181106,20190103
CA23,M001165,"McCarthy, Kevin",Mr. McCarthy,Mr.,Kevin,,McCarthy,,"MCCARTHY,KEVIN",115,Kevin McCarthy,R,R,CA,California,23rd,Bakersfield,RHOB,2468,20515,0523,(202) 225-2915,20181106,20190103
CA24,C001112,"Carbajal, Salud",Mr. Carbajal,Mr.,Salud,O.,Carbajal,,"CARBAJAL,SALUD",115,Salud O. Carbajal,D,D,CA,California,24th,Santa Barbara,LHOB,1431,20515,0524,(202) 225-3601,20181106,20190103
CA25,H001087,"Hill, Katie",Ms. Hill of California,Ms.,Katie,,Hill,,"HILL,KATIE",0,Katie Hill,D,D,CA,California,25th,Agua Dulce,LHOB,1130,20515,0525,(202) 225-1956,20181106,20190103
CA26,B001285,"Brownley, Julia",Ms. Brownley of California,Ms.,Julia,,Brownley,,"BROWNLEY,JULIA",115,Julia Brownley,D,D,CA,California,26th,Westlake Village,RHOB,2262,20515,0526,(202) 225-5811,20181106,20190103
CA27,C001080,"Chu, Judy",Ms. Judy Chu of California,Ms.,Judy,,Chu,,"CHU,JUDY",115,Judy Chu,D,D,CA,California,27th,Monterey Park,RHOB,2423,20515,0527,(202) 225-5464,20181106,20190103
CA28,S001150,"Schiff, Adam",Mr. Schiff,Mr.,Adam,B.,Schiff,,"SCHIFF,ADAM",115,Adam B. Schiff,D,D,CA,California,28th,Burbank,RHOB,2269,20515,0528,(202) 225-4176,20181106,20190103
CA29,C001097,"Cárdenas, Tony",Mr. Cárdenas,Mr.,Tony,,Cárdenas,,"CARDENAS,TONY",115,Tony Cárdenas,D,D,CA,California,29th,Pacoima,RHOB,2438,20515,0529,(202) 225-6131,20181106,20190103
CA30,S000344,"Sherman, Brad",Mr. Sherman,Mr.,Brad,,Sherman,,"SHERMAN,BRAD",115,Brad Sherman,D,D,CA,California,30th,Sherman Oaks,RHOB,2181,20515,0530,(202) 225-5911,20181106,20190103
CA31,A000371,"Aguilar, Pete",Mr. Aguilar,Mr.,Pete,,Aguilar,,"AGUILAR,PETE",115,Pete Aguilar,D,D,CA,California,31st,Redlands,CHOB,109,20515,0531,(202) 225-3201,20181106,20190103
CA32,N000179,"Napolitano, Grace",Mrs. Napolitano,Mrs.,Grace,F.,Napolitano,,"NAPOLITANO,GRACE",115,Grace F. Napolitano,D,D,CA,California,32nd,Norwalk,LHOB,1610,20515,0532,(202) 225-5256,20181106,20190103
CA33,L000582,"Lieu, Ted",Mr. Ted Lieu of California,Mr.,Ted,,Lieu,,"LIEU,TED",115,Ted Lieu,D,D,CA,California,33rd,Torrance,CHOB,403,20515,0533,(202) 225-3976,20181106,20190103
CA34,G000585,"Gomez, Jimmy",Mr. Gomez,Mr.,Jimmy,,Gomez,,"GOMEZ,JIMMY",115,Jimmy Gomez,D,D,CA,California,34th,Los Angeles,LHOB,1530,20515,0534,(202) 225-6235,20181106,20190103
CA35,T000474,"Torres, Norma",Mrs. Torres of California,Mrs.,Norma,J.,Torres,,"TORRES,NORMA",115,Norma J. Torres,D,D,CA,California,35th,Pomona,RHOB,2444,20515,0535,(202) 225-6161,20181106,20190103
CA36,R000599,"Ruiz, Raul",Mr. Ruiz,Mr.,Raul,,Ruiz,,"RUIZ,RAUL",115,Raul Ruiz,D,D,CA,California,36th,Coachella,RHOB,2342,20515,0536,(202) 225-5330,20181106,20190103
CA37,B001270,"Bass, Karen",Ms. Bass,Ms.,Karen,,Bass,,"BASS,KAREN",115,Karen Bass,D,D,CA,California,37th,Los Angeles,RHOB,2059,20515,0537,(202) 225-7084,20181106,20190103
CA38,S001156,"Sánchez, Linda",Ms. Sánchez,Ms.,Linda,T.,Sánchez,,"SANCHEZ,LINDA",115,Linda T. Sánchez,D,D,CA,California,38th,Whittier,RHOB,2329,20515,0538,(202) 225-6676,20181106,20190103
CA39,C001123,"Cisneros, Gilbert",Mr. Cisneros,Mr.,Gilbert,Ray,Cisneros,Jr.,"CISNEROS,GILBERT",0,"Gilbert Ray Cisneros, Jr.",D,D,CA,California,39th,Yorba Linda,CHOB,431,20515,0539,(202) 225-4111,20181106,20190103
CA40,R000486,"Roybal-Allard, Lucille",Ms. Roybal-Allard,Ms.,Lucille,,Roybal-Allard,,"ROYBALALLARD,LUCILLE",115,Lucille Roybal-Allard,D,D,CA,California,40th,Downey,RHOB,2083,20515,0540,(202) 225-1766,20181106,20190103
CA41,T000472,"Takano, Mark",Mr. Takano,Mr.,Mark,,Takano,,"TAKANO,MARK",115,Mark Takano,D,D,CA,California,41st,Riverside,CHOB,420,20515,0541,(202) 225-2305,20181106,20190103
CA42,C000059,"Calvert, Ken",Mr. Calvert,Mr.,Ken,,Calvert,,"CALVERT,KEN",115,Ken Calvert,R,R,CA,California,42nd,Corona,RHOB,2205,20515,0542,(202) 225-1986,20181106,20190103
CA43,W000187,"Waters, Maxine",Ms. Waters,Ms.,Maxine,,Waters,,"WATERS,MAXINE",115,Maxine Waters,D,D,CA,California,43rd,Los Angeles,RHOB,2221,20515,0543,(202) 225-2201,20181106,20190103
CA44,B001300,"Barragán, Nanette",Ms. Barragán,Ms.,Nanette,Diaz,Barragán,,"BARRAGAN,NANETTE",115,Nanette Diaz Barragán,D,D,CA,California,44th,San Pedro,LHOB,1030,20515,0544,(202) 225-8220,20181106,20190103
CA45,P000618,"Porter, Katie",Ms. Porter,Ms.,Katie,,Porter,,"PORTER,KATIE",0,Katie Porter,D,D,CA,California,45th,Irvine,LHOB,1117,20515,0545,(202) 225-5611,20181106,20190103
CA46,C001110,"Correa, J.",Mr. Correa,Mr.,J.,Luis,Correa,,"CORREA,J.",115,J. Luis Correa,D,D,CA,California,46th,Santa Ana,LHOB,1039,20515,0546,(202) 225-2965,20181106,20190103
CA47,L000579,"Lowenthal, Alan",Mr. Lowenthal,Mr.,Alan,S.,Lowenthal,,"LOWENTHAL,ALAN",115,Alan S. Lowenthal,D,D,CA,California,47th,Long Beach,CHOB,108,20515,0547,(202) 225-7924,20181106,20190103
CA48,R000616,"Rouda, Harley",Mr. Rouda,Mr.,Harley,,Rouda,,"ROUDA,HARLEY",0,Harley Rouda,D,D,CA,California,48th,Laguna Beach,RHOB,2300,20515,0548,(202) 225-2415,20181106,20190103
CA49,L000593,"Levin, Mike",Mr. Levin of California,Mr.,Mike,,Levin,,"LEVIN,MIKE",0,Mike Levin,D,D,CA,California,49th,San Juan Capistrano,LHOB,1626,20515,0549,(202) 225-3906,20181106,20190103
CA50,H001048,"Hunter, Duncan",Mr. Hunter,Mr.,Duncan,,Hunter,,"HUNTER,DUNCAN",115,Duncan Hunter,R,R,CA,California,50th,Alpine,RHOB,2429,20515,0550,(202) 225-5672,20181106,20190103
CA51,V000130,"Vargas, Juan",Mr. Vargas,Mr.,Juan,,Vargas,,"VARGAS,JUAN",115,Juan Vargas,D,D,CA,California,51st,San Diego,RHOB,2244,20515,0551,(202) 225-8045,20181106,20190103
CA52,P000608,"Peters, Scott",Mr. Peters,Mr.,Scott,H.,Peters,,"PETERS,SCOTT",115,Scott H. Peters,D,D,CA,California,52nd,San Diego,RHOB,2338,20515,0552,(202) 225-0508,20181106,20190103
CA53,D000598,"Davis, Susan",Mrs. Davis of California,Mrs.,Susan,A.,Davis,,"DAVIS,SUSAN",115,Susan A. Davis,D,D,CA,California,53rd,San Diego,LHOB,1214,20515,0553,(202) 225-2040,20181106,20190103
CO01,D000197,"DeGette, Diana",Ms. DeGette,Ms.,Diana,,DeGette,,"DEGETTE,DIANA",115,Diana DeGette,D,D,CO,Colorado,1st,Denver,RHOB,2111,20515,0601,(202) 225-4431,20181106,20190103
CO02,N000191,"Neguse, Joe",Mr. Neguse,Mr.,Joe,,Neguse,,"NEGUSE,JOE",0,Joe Neguse,D,D,CO,Colorado,2nd,Lafayette,LHOB,1419,20515,0602,(202) 225-2161,20181106,20190103
CO03,T000470,"Tipton, Scott",Mr. Tipton,Mr.,Scott,R.,Tipton,,"TIPTON,SCOTT",115,Scott R. Tipton,R,R,CO,Colorado,3rd,Cortez,CHOB,218,20515,0603,(202) 225-4761,20181106,20190103
CO04,B001297,"Buck, Ken",Mr. Buck,Mr.,Ken,,Buck,,"BUCK,KEN",115,Ken Buck,R,R,CO,Colorado,4th,Windsor,RHOB,2455,20515,0604,(202) 225-4676,20181106,20190103
CO05,L000564,"Lamborn, Doug",Mr. Lamborn,Mr.,Doug,,Lamborn,,"LAMBORN,DOUG",115,Doug Lamborn,R,R,CO,Colorado,5th,Colorado Springs,RHOB,2371,20515,0605,(202) 225-4422,20181106,20190103
CO06,C001121,"Crow, Jason",Mr. Crow,Mr.,Jason,,Crow,,"CROW,JASON",0,Jason Crow,D,D,CO,Colorado,6th,Aurora,LHOB,1229,20515,0606,(202) 225-7882,20181106,20190103
CO07,P000593,"Perlmutter, Ed",Mr. Perlmutter,Mr.,Ed,,Perlmutter,,"PERLMUTTER,ED",115,Ed Perlmutter,D,D,CO,Colorado,7th,Arvada,LHOB,1226,20515,0607,(202) 225-2645,20181106,20190103
CT01,L000557,"Larson, John",Mr. Larson of Connecticut,Mr.,John,B.,Larson,,"LARSON,JOHN",115,John B. Larson,D,D,CT,Connecticut,1st,East Hartford,LHOB,1501,20515,0701,(202) 225-2265,20181106,20190103
CT02,C001069,"Courtney, Joe",Mr. Courtney,Mr.,Joe,,Courtney,,"COURTNEY,JOE",115,Joe Courtney,D,D,CT,Connecticut,2nd,Vernon,RHOB,2332,20515,0702,(202) 225-2076,20181106,20190103
CT03,D000216,"DeLauro, Rosa",Ms. DeLauro,Ms.,Rosa,L.,DeLauro,,"DELAURO,ROSA",115,Rosa L. DeLauro,D,D,CT,Connecticut,3rd,New Haven,RHOB,2413,20515,0703,(202) 225-3661,20181106,20190103
CT04,H001047,"Himes, James",Mr. Himes,Mr.,James,A.,Himes,,"HIMES,JAMES",115,James A. Himes,D,D,CT,Connecticut,4th,Cos Cob,LHOB,1227,20515,0704,(202) 225-5541,20181106,20190103
CT05,H001081,"Hayes, Jahana",Mrs. Hayes,Mrs.,Jahana,,Hayes,,"HAYES,JAHANA",0,Jahana Hayes,D,D,CT,Connecticut,5th,Wolcott,LHOB,1415,20515,0705,(202) 225-4476,20181106,20190103
DC00,N000147,"Norton, Eleanor",Ms. Norton,Ms.,Eleanor,Holmes,Norton,,"NORTON,ELEANOR",115,Eleanor Holmes Norton,D,D,DC,District of Columbia,Delegate,District of Columbia,RHOB,2136,20515,5101,(202) 225-8050,20181106,20190103
DE00,B001303,"Blunt Rochester, Lisa",Ms. Blunt Rochester,Ms.,Lisa,,Blunt Rochester,,"BLUNTROCHESTER,LISA",115,Lisa Blunt Rochester,D,D,DE,Delaware,At Large,Wilmington,LHOB,1519,20515,0800,(202) 225-4165,20181106,20190103
FL01,G000578,"Gaetz, Matt",Mr. Gaetz,Mr.,Matt,,Gaetz,,"GAETZ,MATT",115,Matt Gaetz,R,R,FL,Florida,1st,Fort Walton Beach,LHOB,1721,20515,0901,(202) 225-4136,20181106,20190103
FL02,D000628,"Dunn, Neal",Mr. Dunn,Mr.,Neal,P.,Dunn,,"DUNN,NEAL",115,Neal P. Dunn,R,R,FL,Florida,2nd,Panama City,CHOB,316,20515,0902,(202) 225-5235,20181106,20190103
FL03,Y000065,"Yoho, Ted",Mr. Yoho,Mr.,Ted,S.,Yoho,,"YOHO,TED",115,Ted S. Yoho,R,R,FL,Florida,3rd,Gainesville,LHOB,1730,20515,0903,(202) 225-5744,20181106,20190103
FL04,R000609,"Rutherford, John",Mr. Rutherford,Mr.,John,H.,Rutherford,,"RUTHERFORD,JOHN",115,John H. Rutherford,R,R,FL,Florida,4th,Jacksonville,LHOB,1711,20515,0904,(202) 225-2501,20181106,20190103
FL05,L000586,"Lawson, Al",Mr. Lawson of Florida,Mr.,Al,,Lawson,Jr.,"LAWSON,AL",115,"Al Lawson, Jr.",D,D,FL,Florida,5th,Tallahassee,LHOB,1406,20515,0905,(202) 225-0123,20181106,20190103
FL06,W000823,"Waltz, Michael",Mr. Waltz,Mr.,Michael,,Waltz,,"WALTZ,MICHAEL",0,Michael Waltz,R,R,FL,Florida,6th,St. Augustine Beach,CHOB,216,20515,0906,(202) 225-2706,20181106,20190103
FL07,M001202,"Murphy, Stephanie",Mrs. Murphy,Mrs.,Stephanie,N.,Murphy,,"MURPHY,STEPHANIE",115,Stephanie N. Murphy,D,D,FL,Florida,7th,Winter Park,LHOB,1710,20515,0907,(202) 225-4035,20181106,20190103
FL08,P000599,"Posey, Bill",Mr. Posey,Mr.,Bill,,Posey,,"POSEY,BILL",115,Bill Posey,R,R,FL,Florida,8th,Rockledge,RHOB,2150,20515,0908,(202) 225-3671,20181106,20190103
FL09,S001200,"Soto, Darren",Mr. Soto,Mr.,Darren,,Soto,,"SOTO,DARREN",115,Darren Soto,D,D,FL,Florida,9th,Kissimmee,LHOB,1507,20515,0909,(202) 225-9889,20181106,20190103
FL10,D000627,"Demings, Val",Mrs. Demings,Mrs.,Val,Butler,Demings,,"DEMINGS,VAL",115,Val Butler Demings,D,D,FL,Florida,10th,Orlando,CHOB,217,20515,0910,(202) 225-2176,20181106,20190103
FL11,W000806,"Webster, Daniel",Mr. Webster of Florida,Mr.,Daniel,,Webster,,"WEBSTER,DANIEL",115,Daniel Webster,R,R,FL,Florida,11th,Clermont,LHOB,1210,20515,0911,(202) 225-1002,20181106,20190103
FL12,B001257,"Bilirakis, Gus",Mr. Bilirakis,Mr.,Gus,M.,Bilirakis,,"BILIRAKIS,GUS",115,Gus M. Bilirakis,R,R,FL,Florida,12th,Palm Harbor,RHOB,2227,20515,0912,(202) 225-5755,20181106,20190103
FL13,C001111,"Crist, Charlie",Mr. Crist,Mr.,Charlie,,Crist,,"CRIST,CHARLIE",115,Charlie Crist,D,D,FL,Florida,13th,St. Petersburg,CHOB,215,20515,0913,(202) 225-5961,20181106,20190103
FL14,C001066,"Castor, Kathy",Ms. Castor of Florida,Ms.,Kathy,,Castor,,"CASTOR,KATHY",115,Kathy Castor,D,D,FL,Florida,14th,Tampa,RHOB,2052,20515,0914,(202) 225-3376,20181106,20190103
FL15,S001210,"Spano, Ross",Mr. Spano,Mr.,Ross,,Spano,,"SPANO,ROSS",0,Ross Spano,R,R,FL,Florida,15th,Dover,CHOB,224,20515,0915,(202) 225-1252,20181106,20190103
FL16,B001260,"Buchanan, Vern",Mr. Buchanan,Mr.,Vern,,Buchanan,,"BUCHANAN,VERN",115,Vern Buchanan,R,R,FL,Florida,16th,Sarasota,RHOB,2427,20515,0916,(202) 225-5015,20181106,20190103
FL17,S001214,"Steube, W.",Mr. Steube,Mr.,W.,Gregory,Steube,,"STEUBE,W.",0,W. Gregory Steube,R,R,FL,Florida,17th,Sarasota,CHOB,521,20515,0917,(202) 225-5792,20181106,20190103
FL18,M001199,"Mast, Brian",Mr. Mast,Mr.,Brian,J.,Mast,,"MAST,BRIAN",115,Brian J. Mast,R,R,FL,Florida,18th,Palm City,RHOB,2182,20515,0918,(202) 225-3026,20181106,20190103
FL19,R000607,"Rooney, Francis",Mr. Rooney of Florida,Mr.,Francis,,Rooney,,"ROONEY,FRANCIS",115,Francis Rooney,R,R,FL,Florida,19th,Naples,CHOB,120,20515,0919,(202) 225-2536,20181106,20190103
FL20,H000324,"Hastings, Alcee",Mr. Hastings,Mr.,Alcee,L.,Hastings,,"HASTINGS,ALCEE",115,Alcee L. Hastings,D,D,FL,Florida,20th,Delray Beach,RHOB,2353,20515,0920,(202) 225-1313,20181106,20190103
FL21,F000462,"Frankel, Lois",Ms. Frankel,Ms.,Lois,,Frankel,,"FRANKEL,LOIS",115,Lois Frankel,D,D,FL,Florida,21st,West Palm Beach,RHOB,2305,20515,0921,(202) 225-9890,20181106,20190103
FL22,D000610,"Deutch, Theodore",Mr. Deutch,Mr.,Theodore,E.,Deutch,,"DEUTCH,THEODORE",115,Theodore E. Deutch,D,D,FL,Florida,22nd,Boca Raton,RHOB,2447,20515,0922,(202) 225-3001,20181106,20190103
FL23,W000797,"Wasserman Schultz, Debbie",Ms. Wasserman Schultz,Ms.,Debbie,,Wasserman Schultz,,"WASSERMANSCHULTZ,DEBBIE",115,Debbie Wasserman Schultz,D,D,FL,Florida,23rd,Weston,LHOB,1114,20515,0923,(202) 225-7931,20181106,20190103
FL24,W000808,"Wilson, Frederica",Ms. Wilson of Florida,Ms.,Frederica,S.,Wilson,,"WILSON,FREDERICA",115,Frederica S. Wilson,D,D,FL,Florida,24th,Miami Gardens,RHOB,2445,20515,0924,(202) 225-4506,20181106,20190103
FL25,D000600,"Diaz-Balart, Mario",Mr. Diaz-Balart,Mr.,Mario,,Diaz-Balart,,"DIAZBALART,MARIO",115,Mario Diaz-Balart,R,R,FL,Florida,25th,Miami,CHOB,404,20515,0925,(202) 225-4211,20181106,20190103
